Name, AUC-ROC(mean/std), AUC-PR(mean/std)
Analysis, 0.837/0.0018, 0.630/0.0142
Backdoor, 0.892/0.0084, 0.610/0.0048
DoS, 0.801/0.0042, 0.650/0.0014
Exploits, 0.895/0.0032, 0.732/0.0134
Fuzzers, 0.651/0.0018, 0.646/0.0072
Generic, 0.876/0.0021, 0.756/0.0037
Reconnaissance, 0.790/0.0101, 0.434/0.0089
Hypothyroid, 0.831/0.0006, 0.519/0.0013
Subnormal, 0.820/0.0013, 0.469/0.0072
Downstairs, 0.967/0.0021, 0.896/0.0027
Upstairs, 0.967/0.0021, 0.894/0.0037
Cottonwood, 0.897/0.0032, 0.692/0.0022
Douglas-fir, 0.901/0.0001, 0.684/0.0047
CupPick,0.456/0.0248,0.562/0.0112
